,my_x,my_y,my_az,enemy_x,enemy_y,u,v,theta,sin_theta,est_enemy_u,est_enemy_v,est_enemy_theta,est_enemy_sin_theta,est_enemy_x,est_enemy_y,diff_enemy_x,diff_enemy_y,diff_enemy_u,diff_enemy_v,diff_enemy_theta,diff_enemy_sin_theta
26,-1.300031,0.000142,0.070111,0.374435,-0.006586,0.008777,1.674457,-0.300324,-0.005242,0.025395,1.685145,-0.863366,-0.015068,0.385144,-0.023191,0.010709,0.016605,0.016618,0.010688,0.563042,0.009826
27,-1.300031,0.000145,0.072830,0.338114,-0.006978,0.009205,1.638135,-0.321963,-0.005619,0.030236,1.685145,-1.027924,-0.017940,0.385151,-0.027949,0.047037,0.020971,0.021031,0.047010,0.705961,0.012321
28,-1.300032,0.000147,0.074725,0.312970,-0.007270,0.009521,1.612991,-0.338184,-0.005902,0.031458,1.623307,-1.110206,-0.019376,0.323315,-0.029194,0.010345,0.021924,0.021937,0.010316,0.772022,0.013474
29,-1.300032,0.000149,0.076394,0.291426,-0.007531,0.009802,1.591446,-0.352888,-0.006159,0.033380,1.603601,-1.192490,-0.020811,0.303612,-0.031093,0.012186,0.023562,0.023578,0.012155,0.839602,0.014652
30,-1.300032,0.000150,0.076863,0.286380,-0.007592,0.009870,1.586400,-0.356475,-0.006222,0.028427,1.584331,-1.027924,-0.017940,0.284336,-0.026152,0.002044,0.018560,0.018557,0.002069,0.671449,0.011718
31,-1.300032,0.000153,0.079283,0.269822,-0.007809,0.010134,1.569841,-0.369874,-0.006455,0.031849,1.643460,-1.110206,-0.019376,0.343471,-0.029422,0.073649,0.021613,0.021715,0.073619,0.740332,0.012921
32,-1.300033,0.000156,0.081891,0.268539,-0.007832,0.010230,1.568559,-0.373669,-0.006522,0.026469,1.603601,-0.945644,-0.016504,0.303604,-0.024021,0.035065,0.016189,0.016239,0.035042,0.571975,0.009982
33,-1.300033,0.000158,0.084162,0.281504,-0.007657,0.010138,1.581524,-0.367281,-0.006410,0.030338,1.565489,-1.110206,-0.019376,0.265499,-0.027880,0.016005,0.020223,0.020200,0.016035,0.742925,0.012966
34,-1.300034,0.000160,0.086039,0.302019,-0.007430,0.009996,1.602040,-0.357486,-0.006239,0.033380,1.603601,-1.192490,-0.020811,0.303615,-0.030812,0.001596,0.023382,0.023384,0.001561,0.835004,0.014572
35,-1.300034,0.000162,0.087015,0.317288,-0.007295,0.009913,1.617309,-0.351187,-0.006129,0.026794,1.623307,-0.945644,-0.016504,0.323312,-0.024167,0.006024,0.016872,0.016881,0.005998,0.594457,0.010375
36,-1.300034,0.000164,0.089586,0.348872,-0.007086,0.009828,1.648893,-0.341506,-0.005960,0.033791,1.623307,-1.192490,-0.020811,0.323324,-0.031088,0.025548,0.024002,0.023963,0.025586,0.850984,0.014851
37,-1.300035,0.000167,0.091952,0.380339,-0.006883,0.009747,1.680361,-0.332335,-0.005800,0.030236,1.685145,-1.027924,-0.017940,0.385156,-0.027364,0.004817,0.020481,0.020489,0.004784,0.695589,0.012140
38,-1.300035,0.000169,0.094055,0.408387,-0.006699,0.009672,1.708408,-0.324388,-0.005662,0.028535,1.728733,-0.945644,-0.016504,0.428743,-0.025528,0.020356,0.018829,0.018863,0.020325,0.621256,0.010842
39,-1.300035,0.000171,0.095689,0.430087,-0.006561,0.009621,1.730108,-0.318629,-0.005561,0.029676,1.797861,-0.945644,-0.016504,0.497873,-0.026502,0.067786,0.019941,0.020055,0.067753,0.627015,0.010943
40,-1.300036,0.000173,0.097398,0.452764,-0.006436,0.009589,1.752786,-0.313433,-0.005470,0.031422,1.751266,-1.027924,-0.017940,0.451281,-0.028272,0.001483,0.021836,0.021833,0.001520,0.714491,0.012470
41,-1.300036,0.000175,0.099052,0.474732,-0.006315,0.009558,1.774754,-0.308571,-0.005386,0.035308,1.821944,-1.110206,-0.019376,0.521967,-0.031983,0.047235,0.025668,0.025750,0.047190,0.801635,0.013990
42,-1.300036,0.000177,0.100705,0.496748,-0.006195,0.009530,1.796770,-0.303894,-0.005304,0.033938,1.751266,-1.110206,-0.019376,0.451287,-0.030683,0.045461,0.024488,0.024408,0.045504,0.806312,0.014072
43,-1.300037,0.000179,0.102283,0.517790,-0.006075,0.009499,1.817813,-0.299401,-0.005226,0.030895,1.871733,-0.945644,-0.016504,0.571748,-0.027375,0.053958,0.021300,0.021396,0.053920,0.646243,0.011278
44,-1.300037,0.000181,0.104200,0.543197,-0.005948,0.009481,1.843220,-0.294715,-0.005144,0.033132,1.846565,-1.027924,-0.017940,0.546585,-0.029593,0.003388,0.023645,0.023651,0.003345,0.733209,0.012796
45,-1.300037,0.000183,0.106192,0.569634,-0.005828,0.009476,1.869657,-0.290398,-0.005068,0.033132,1.846565,-1.027924,-0.017940,0.546586,-0.029527,0.023048,0.023699,0.023656,0.023092,0.737526,0.012872
46,-1.300038,0.000185,0.107846,0.591631,-0.005729,0.009475,1.891655,-0.286971,-0.005009,0.033584,1.871733,-1.027924,-0.017940,0.571755,-0.029876,0.019876,0.024147,0.024109,0.019922,0.740953,0.012931
47,-1.300038,0.000187,0.109669,0.615927,-0.005617,0.009471,1.915950,-0.283234,-0.004943,0.028991,1.923758,-0.863366,-0.015068,0.623772,-0.025121,0.007845,0.019504,0.019520,0.007808,0.580132,0.010125
