,my_x,my_y,enemy_x,enemy_y,circle_x,circle_y,circle_r
473,-0.371517,0.689084,0.001228,1.300092,302,53,21
474,-0.371514,0.689077,0.001231,1.300092,304,45,20
475,-0.371520,0.689085,0.001233,1.300093,301,50,24
476,-0.371522,0.689081,0.001236,1.300093,305,46,20
477,-0.371532,0.689091,0.001238,1.300093,304,48,23
478,-0.371522,0.689080,0.001240,1.300094,306,53,21
479,-0.371543,0.689098,0.001243,1.300094,304,48,22
480,-0.371528,0.689083,0.001245,1.300095,304,45,20
481,-0.371547,0.689099,0.001248,1.300095,301,50,24
482,-0.371538,0.689088,0.001251,1.300096,303,50,22
483,-0.371558,0.689104,0.001252,1.300096,307,52,21
484,-0.371533,0.689086,0.001254,1.300097,307,54,19
485,-0.371566,0.689110,0.001257,1.300097,303,48,22
486,-0.371545,0.689093,0.001260,1.300097,302,50,23
487,-0.371571,0.689113,0.001262,1.300098,302,51,22
488,-0.371546,0.689093,0.001264,1.300098,302,53,21
489,-0.371578,0.689115,0.001267,1.300099,307,54,19
490,-0.371557,0.689102,0.001269,1.300099,300,50,19
491,-0.371581,0.689116,0.001271,1.300100,303,48,22
492,-0.371559,0.689101,0.001274,1.300100,305,46,20
493,-0.371584,0.689117,0.001276,1.300100,303,51,23
494,-0.371578,0.689116,0.001278,1.300101,306,51,21
495,-0.371583,0.689116,0.001281,1.300101,307,54,19
496,-0.371587,0.689122,0.001283,1.300102,302,47,21
497,-0.371593,0.689121,0.001286,1.300102,302,50,23
498,-0.371588,0.689119,0.001288,1.300103,303,51,23
499,-0.371594,0.689121,0.001290,1.300103,307,50,21
500,-0.371605,0.689131,0.001293,1.300104,304,49,23
501,-0.371604,0.689127,0.001295,1.300104,304,45,19
502,-0.371607,0.689132,0.001298,1.300104,306,49,23
503,-0.371609,0.689129,0.001300,1.300105,307,47,21
504,-0.371625,0.689143,0.001302,1.300105,302,53,21
505,-0.371613,0.689130,0.001304,1.300106,302,49,24
506,-0.371629,0.689145,0.001307,1.300106,307,52,20
507,-0.371622,0.689136,0.001310,1.300107,307,48,25
508,-0.371642,0.689153,0.001312,1.300107,301,54,20
509,-0.371627,0.689138,0.001314,1.300108,306,51,23
510,-0.371649,0.689156,0.001316,1.300108,303,47,22
511,-0.371624,0.689135,0.001319,1.300108,304,45,20
512,-0.371652,0.689157,0.001322,1.300109,305,54,20
513,-0.371640,0.689144,0.001324,1.300109,304,45,20
514,-0.371662,0.689162,0.001326,1.300110,302,47,21
515,-0.371634,0.689141,0.001328,1.300110,302,47,21
516,-0.371670,0.689166,0.001331,1.300111,305,44,18
